Wall time,Step,Value
1753976748.7985942,57,-20.637388229370117
1753976810.8900526,58,-20.605100631713867
1753976872.1712356,59,-20.682373046875
1753976933.5896668,60,-20.707550048828125
1753976996.3406382,61,-20.738916397094727
1753977057.0745893,62,-20.75185203552246
1753977119.3462853,63,-20.670698165893555
1753977181.7770967,64,-20.741947174072266
1753977243.1601007,65,-20.839231491088867
1753977305.1078486,66,-20.802610397338867
1753977367.0417495,67,-20.804811477661133
1753977428.5615554,68,-20.884082794189453
1753977490.6139047,69,-20.905672073364258
1753977551.8643217,70,-20.941343307495117
1753977613.4930787,71,-20.93752670288086
1753977676.2573848,72,-20.867324829101562
1753977738.6392405,73,-20.997953414916992
1753977800.5050602,74,-20.946474075317383
1753977862.2216544,75,-21.047006607055664
1753977923.5268805,76,-21.028385162353516
1753977985.018815,77,-21.093000411987305
1753978047.043943,78,-20.866985321044922
1753978110.0092738,79,-20.886474609375
1753978171.3518932,80,-21.091459274291992
1753978234.1133673,81,-21.186315536499023
1753978296.274281,82,-21.17780303955078
1753978358.3225086,83,-21.144136428833008
1753978420.6649265,84,-21.134130477905273
1753978482.5219693,85,-21.151119232177734
1753978543.8564959,86,-20.869516372680664
1753978605.970692,87,-21.153127670288086
1753978667.7410917,88,-21.260656356811523
1753978729.3730266,89,-21.329261779785156
1753978791.4612057,90,-21.36869239807129
1753978853.480921,91,-21.30411148071289
1753978914.7219546,92,-21.33519172668457
1753978976.247455,93,-21.373451232910156
1753979039.2374427,94,-21.24578285217285
1753979101.4858217,95,-21.324644088745117
1753979164.329555,96,-21.384021759033203
1753979226.256493,97,-21.495656967163086
1753979287.3241394,98,-19.060344696044922
1753979349.4955437,99,-20.119342803955078
1753979410.8516986,100,-20.813270568847656
1753979473.178656,101,-21.14693832397461
1753979534.4970987,102,-21.341838836669922
1753979595.8733528,103,-21.474985122680664
1753979657.2054477,104,-21.564794540405273
1753979718.5932348,105,-21.454345703125
1753979779.9661343,106,-21.611042022705078
1753979841.989917,107,-21.68099021911621
1753979903.2194672,108,-21.624969482421875
1753979964.9149647,109,-21.69923973083496
1753980026.5605679,110,-21.69700813293457
1753980087.7427258,111,-21.68880844116211
1753980149.9844444,112,-21.685237884521484
1753980211.388237,113,-21.729097366333008
1753980271.055404,114,-21.57402229309082
1753980331.5959308,115,-21.6159610748291
1753980392.7024162,116,-21.407447814941406
1753980454.3941863,117,-21.76714515686035
1753980514.393272,118,-21.7890682220459
1753980574.8985734,119,-21.76004409790039
1753980636.7400987,120,-21.607555389404297
1753980699.150131,121,-21.782896041870117
1753980760.9650683,122,-21.798646926879883
1753980822.200984,123,-21.731231689453125
1753980883.574414,124,-21.80144691467285
1753980945.7613685,125,-21.02103042602539
1753981007.778298,126,-21.72050666809082
1753981069.6996686,127,-21.895584106445312
1753981131.717854,128,-21.497812271118164
1753981193.9520485,129,-21.623613357543945
1753981256.293476,130,-21.96468162536621
1753981318.7441893,131,-22.080917358398438
1753981380.8481076,132,-22.095483779907227
1753981442.5014641,133,-21.70596694946289
1753981504.5457506,134,-21.921815872192383
1753981566.3817964,135,-22.12541961669922
1753981628.563841,136,-22.116243362426758
1753981691.2167475,137,-22.05667495727539
1753981753.2894225,138,-21.69386863708496
1753981815.7406976,139,-22.189729690551758
1753981877.349428,140,-22.267662048339844
1753981938.9925263,141,-22.243480682373047
1753981999.908018,142,-21.913818359375
1753982061.095407,143,-22.184965133666992
1753982123.1557229,144,-20.596952438354492
1753982184.523472,145,-21.7929630279541
1753982246.053954,146,-22.182401657104492
1753982308.2087467,147,-22.338878631591797
1753982369.1646821,148,-22.087499618530273
1753982431.5834284,149,-22.394832611083984
1753982493.3623326,150,-22.459304809570312
1753982556.0748653,151,-22.521093368530273
1753982618.7331653,152,-22.46816062927246
1753982680.9086094,153,-22.53354835510254
1753982743.011815,154,-22.496906280517578
1753982804.7716022,155,-22.5714111328125
1753982866.7958324,156,-22.394302368164062
1753982928.118107,157,-22.545717239379883
1753982989.0064325,158,-22.557605743408203
1753983050.9262214,159,-20.37131118774414
1753983112.1736345,160,-21.472219467163086
1753983174.2940216,161,-22.171300888061523
1753983236.2382457,162,-22.495227813720703
1753983298.0198598,163,-22.69144630432129
1753983360.0950868,164,-22.376474380493164
1753983421.4454765,165,-22.270328521728516
1753983483.5088973,166,-22.76309585571289
1753983545.6206288,167,-22.825511932373047
