episode,jerk_eef_max,jerk_joint_max,eef_path_length,joint_path_length,orientation_path_length
demo_0,200.06872208207832,1027.449111070613,2.057335615158081,10.636322975158691,6.073516158472248
demo_1,276.25169700171887,1213.3427444056813,2.183206081390381,9.96536636352539,4.110942409390004
demo_10,224.30480537718006,1094.5709312431309,1.8588181734085083,9.346473693847656,4.729251633914762
demo_100,182.34121804422796,1002.6981703517941,1.8560552597045898,9.842777252197266,5.546758190254405
demo_101,222.13623431761522,959.873213651279,2.023576259613037,13.510843276977539,8.668877739735269
demo_102,205.32154675566895,1101.2988537083538,1.9309213161468506,10.636672973632812,6.183721460512549
demo_103,223.67611794032746,967.1040130682915,2.325094223022461,12.274923324584961,6.541603902510305
demo_104,196.1537366983482,1052.9893540603134,2.283168315887451,10.881979942321777,5.565863196113731
demo_105,305.8114720944772,1903.5764969447716,2.0637733936309814,13.01318645477295,5.150601015999104
demo_106,196.47319545774786,978.4243739555453,2.060426950454712,10.44920539855957,6.513575221001239
demo_107,200.36131039733215,949.4079791341209,1.8870195150375366,10.013248443603516,5.3594722808500626
demo_108,179.65952602980656,1054.333797538108,1.9450807571411133,9.692710876464844,4.919076385220954
demo_109,196.1460483729455,1224.5413910064167,1.9583120346069336,10.240468978881836,4.780360700253705
demo_11,248.58830839607168,1326.427727761419,1.8390767574310303,9.695047378540039,3.754845721275547
demo_110,218.1418681490043,875.3789661732021,2.138803482055664,9.453756332397461,3.4592637901703034
demo_111,206.42713796445804,3167.7082956023737,2.06534481048584,15.580182075500488,4.484596563928612
demo_112,169.10977174329307,942.731454474172,2.114264488220215,10.267587661743164,5.555819534775514
demo_113,216.31662915822278,953.015767018033,1.8670592308044434,8.653440475463867,3.8636407576097147
demo_114,221.57803984884393,818.6022657161795,2.0237069129943848,10.955970764160156,5.889378102963328
demo_115,238.37055921530893,1451.5257965291019,1.8698607683181763,10.895370483398438,4.965970352408657
demo_116,325.9386710840699,1280.100814361352,2.1255218982696533,11.062475204467773,5.070464902819621
demo_117,190.87237472331182,853.0411180533699,1.857489824295044,8.672794342041016,3.656226035923449
demo_118,213.9815387709717,879.661576374064,1.9078612327575684,9.073640823364258,4.6570405442286145
demo_119,222.2785097536086,1077.609913112112,1.8838646411895752,9.879487991333008,5.270580097116959
demo_12,197.1625176996415,1056.7722621704852,1.7039234638214111,10.49011516571045,5.0172630686226185
demo_120,236.61463580757217,1248.6770988805638,2.0920228958129883,13.139026641845703,5.647704802686675
demo_121,185.0334683863417,1021.5364255265445,1.9828338623046875,10.892131805419922,6.895444102539847
demo_122,201.219280091054,901.9368115854196,2.0998082160949707,9.042884826660156,4.172186784083857
demo_123,243.94931083538958,1461.4795980469364,2.102043628692627,11.135736465454102,4.426697471063808
demo_124,286.1920638527532,3449.4618105548757,2.0982532501220703,14.41781997680664,4.439212671385185
demo_125,218.06365657180922,1115.1116476764619,2.0422258377075195,14.086933135986328,7.320396836189353
demo_126,186.68078240483783,4023.1169425030675,2.0781610012054443,14.736931800842285,7.494154357756156
demo_127,296.95769067449254,1324.6654508039414,2.1921796798706055,9.95186996459961,4.925213718748921
demo_128,234.0128896306383,1453.189201852902,2.2151918411254883,11.621261596679688,4.6560952119509285
demo_129,223.24369942354926,1169.8417168226638,2.276132583618164,10.831023216247559,5.490204096965398
demo_13,192.39749892257342,1056.181431947297,1.9567005634307861,13.785421371459961,7.04292579044616
demo_130,264.40967646549194,1146.9308421137198,2.0505216121673584,12.062793731689453,6.642799982101058
demo_131,193.90755649813516,852.0660695531335,2.077864170074463,9.38861083984375,3.963227016178945
demo_132,238.94145887363638,1544.811200743721,2.252213478088379,12.762782096862793,5.869356524580292
demo_133,189.21330031045935,1934.789723390603,2.098456382751465,13.667593002319336,4.543016005357139
demo_134,197.13585571211493,1264.7010534869523,1.801316261291504,8.441442489624023,3.8375906573588923
demo_135,233.19938288939528,1075.4405658692228,2.057922601699829,12.541494369506836,6.071308914857845
demo_136,271.53200831934583,1177.5627125429182,1.9386907815933228,12.901838302612305,8.671589847327528
demo_137,223.04022275945934,1810.765968966344,2.069434642791748,9.997747421264648,3.3025867377127978
demo_138,221.3733337372519,1610.894994467793,2.052882671356201,13.440208435058594,7.164809976925589
demo_139,198.11257796802275,1070.5326009181608,2.0801408290863037,11.620105743408203,6.7537316653764075
demo_14,207.01952255423592,1053.2421294795977,1.8878955841064453,8.934813499450684,4.071813734133027
demo_140,195.3065582916212,1255.3948128135814,2.481844425201416,12.504951477050781,7.108734312942009
demo_141,258.42681475816954,1380.8879561412296,2.1974849700927734,11.486129760742188,5.388480699099523
demo_142,231.38211372168269,1222.2873828118131,1.8967926502227783,10.482654571533203,5.180478145741389
demo_143,221.94590917446908,1682.2542318619585,1.7716178894042969,11.457448959350586,4.781625722329947
