Wall time,Step,Value
1752587366.6557918,244,-30.943330764770508
1752587723.337459,245,-30.816564559936523
1752588079.8915968,246,-30.885438919067383
1752588436.2291713,247,-30.928430557250977
1752588791.6238017,248,-31.002363204956055
1752589146.5521226,249,-30.910598754882812
1752589502.3676789,250,-30.832645416259766
1752589857.0767827,251,-30.9117374420166
1752590215.206669,252,-31.01127815246582
1752590574.4523911,253,-31.034475326538086
1752590930.7692466,254,-30.9848575592041
1752591286.5429673,255,-30.902938842773438
1752591642.635611,256,-31.074045181274414
1752591998.4241633,257,-31.04711151123047
1752592355.8851757,258,-31.105192184448242
1752592712.143153,259,-31.09897804260254
1752593068.5696735,260,-31.09943389892578
1752593425.2943418,261,-31.131134033203125
1752593782.938123,262,-31.10348129272461
1752594140.4005005,263,-31.173465728759766
1752594495.7453918,264,-31.094825744628906
1752594852.1569626,265,-31.10984230041504
1752595206.7767355,266,-31.203453063964844
1752595564.0077872,267,-31.238670349121094
1752595918.9103649,268,-31.112638473510742
1752596275.7926354,269,-31.21189308166504
1752596629.6917503,270,-31.206632614135742
1752596985.4146457,271,-31.26513671875
1752597342.8182003,272,-31.23700714111328
1752597699.5953405,273,-31.299556732177734
1752598054.440988,274,-31.30678939819336
1752598409.3805418,275,-31.313865661621094
1752598765.484601,276,-31.365922927856445
1752599120.8364682,277,-31.206491470336914
1752599475.0887256,278,-31.383127212524414
1752599832.2619052,279,-31.327978134155273
1752600187.8266566,280,-31.271448135375977
1752600543.121287,281,-31.399826049804688
1752600901.6623282,282,-31.345375061035156
1752601257.069327,283,-31.445039749145508
1752601612.1519885,284,-31.40347671508789
1752601970.4187975,285,-31.408872604370117
1752602325.9980896,286,-31.344654083251953
1752602679.8684833,287,-31.381786346435547
1752603036.1050801,288,-31.516403198242188
1752603391.4108377,289,-31.395925521850586
1752603746.7012045,290,-31.43423843383789
1752604102.3949478,291,-31.50721549987793
1752604458.7501132,292,-31.464218139648438
1752604813.4381745,293,-31.594091415405273
1752605168.443458,294,-31.368915557861328
1752605523.8804414,295,-31.347091674804688
1752605880.1774712,296,-31.51224708557129
1752606235.429444,297,-31.599960327148438
1752606591.402951,298,-31.576765060424805
1752606947.2255213,299,-31.57057762145996
1752607302.5802023,300,-31.623493194580078
1752607661.0819767,301,-31.61794090270996
1752608016.4856172,302,-31.574214935302734
